EMAIL,PRODUTO,TIMESTAMP,VALOR_PAGO,UF
user010@gmail.com,Produto30,2021-03-20 16:11:23.448542,148.0,CE
user007@gmail.com,Produto14,2021-03-20 16:14:37.448542,165.0,AM
user010@gmail.com,Produto44,2021-03-20 16:25:16.448542,153.0,CE
user008@gmail.com,Produto48,2021-03-20 16:28:40.448542,196.0,MS
user003@gmail.com,Produto22,2021-03-20 16:45:13.448542,89.0,MA
user001@gmail.com,Produto30,2021-03-20 16:59:41.448542,148.0,PB
user004@gmail.com,Produto34,2021-03-20 17:11:16.448542,108.0,MS
user001@gmail.com,Produto49,2021-03-20 17:20:11.448542,182.0,PB
user010@gmail.com,Produto44,2021-03-20 17:27:47.448542,153.0,CE
user002@gmail.com,Produto28,2021-03-20 17:35:51.448542,172.0,PR
user007@gmail.com,Produto36,2021-03-20 17:45:56.448542,130.0,AM
user006@gmail.com,Produto22,2021-03-20 17:56:06.448542,89.0,AP
user005@gmail.com,Produto3,2021-03-20 18:05:08.448542,182.0,PE
user006@gmail.com,Produto42,2021-03-20 18:06:51.448542,185.0,AP
user006@gmail.com,Produto31,2021-03-20 18:08:45.448542,162.0,AP
user002@gmail.com,Produto18,2021-03-20 18:19:54.448542,131.0,PR
user003@gmail.com,Produto21,2021-03-20 18:30:07.448542,83.0,MA
user007@gmail.com,Produto18,2021-03-20 18:45:32.448542,131.0,AM
user007@gmail.com,Produto50,2021-03-20 19:02:02.448542,130.0,AM
user005@gmail.com,Produto20,2021-03-20 19:14:46.448542,199.0,PE
user006@gmail.com,Produto7,2021-03-20 19:22:15.448542,98.0,AP
user004@gmail.com,Produto10,2021-03-20 19:37:49.448542,126.0,MS
user009@gmail.com,Produto18,2021-03-20 19:43:22.448542,131.0,SE
user008@gmail.com,Produto20,2021-03-20 19:53:26.448542,199.0,MS
user010@gmail.com,Produto12,2021-03-20 20:09:07.448542,130.0,CE
user005@gmail.com,Produto28,2021-03-20 20:21:41.448542,172.0,PE
user003@gmail.com,Produto2,2021-03-20 20:34:25.448542,140.0,MA
user007@gmail.com,Produto17,2021-03-20 20:47:16.448542,128.0,AM
user010@gmail.com,Produto41,2021-03-20 20:48:12.448542,198.0,CE
user008@gmail.com,Produto50,2021-03-20 20:48:33.448542,130.0,MS
user001@gmail.com,Produto3,2021-03-20 20:57:19.448542,182.0,PB
user003@gmail.com,Produto1,2021-03-20 21:04:36.448542,153.0,MA
user002@gmail.com,Produto16,2021-03-20 21:09:19.448542,191.0,PR
user002@gmail.com,Produto46,2021-03-20 21:09:30.448542,141.0,PR
user001@gmail.com,Produto34,2021-03-20 21:17:28.448542,108.0,PB
