email,produto_id,valor_pago,quando_neo4j,quando
user010@gmail.com,Produto30,148.0,2021-03-20T16:11:23.448542,2021-03-20 16:11:23.448542
user007@gmail.com,Produto14,165.0,2021-03-20T16:14:37.448542,2021-03-20 16:14:37.448542
user010@gmail.com,Produto44,153.0,2021-03-20T16:25:16.448542,2021-03-20 16:25:16.448542
user008@gmail.com,Produto48,196.0,2021-03-20T16:28:40.448542,2021-03-20 16:28:40.448542
user003@gmail.com,Produto22,89.0,2021-03-20T16:45:13.448542,2021-03-20 16:45:13.448542
user001@gmail.com,Produto30,148.0,2021-03-20T16:59:41.448542,2021-03-20 16:59:41.448542
user004@gmail.com,Produto34,108.0,2021-03-20T17:11:16.448542,2021-03-20 17:11:16.448542
user001@gmail.com,Produto49,182.0,2021-03-20T17:20:11.448542,2021-03-20 17:20:11.448542
user002@gmail.com,Produto28,172.0,2021-03-20T17:35:51.448542,2021-03-20 17:35:51.448542
user007@gmail.com,Produto36,130.0,2021-03-20T17:45:56.448542,2021-03-20 17:45:56.448542
user006@gmail.com,Produto22,89.0,2021-03-20T17:56:06.448542,2021-03-20 17:56:06.448542
user005@gmail.com,Produto3,182.0,2021-03-20T18:05:08.448542,2021-03-20 18:05:08.448542
user006@gmail.com,Produto42,185.0,2021-03-20T18:06:51.448542,2021-03-20 18:06:51.448542
user006@gmail.com,Produto31,162.0,2021-03-20T18:08:45.448542,2021-03-20 18:08:45.448542
user002@gmail.com,Produto18,131.0,2021-03-20T18:19:54.448542,2021-03-20 18:19:54.448542
user003@gmail.com,Produto21,83.0,2021-03-20T18:30:07.448542,2021-03-20 18:30:07.448542
user007@gmail.com,Produto18,131.0,2021-03-20T18:45:32.448542,2021-03-20 18:45:32.448542
user007@gmail.com,Produto50,130.0,2021-03-20T19:02:02.448542,2021-03-20 19:02:02.448542
user005@gmail.com,Produto20,199.0,2021-03-20T19:14:46.448542,2021-03-20 19:14:46.448542
user006@gmail.com,Produto7,98.0,2021-03-20T19:22:15.448542,2021-03-20 19:22:15.448542
user004@gmail.com,Produto10,126.0,2021-03-20T19:37:49.448542,2021-03-20 19:37:49.448542
user009@gmail.com,Produto18,131.0,2021-03-20T19:43:22.448542,2021-03-20 19:43:22.448542
user008@gmail.com,Produto20,199.0,2021-03-20T19:53:26.448542,2021-03-20 19:53:26.448542
user010@gmail.com,Produto12,130.0,2021-03-20T20:09:07.448542,2021-03-20 20:09:07.448542
user005@gmail.com,Produto28,172.0,2021-03-20T20:21:41.448542,2021-03-20 20:21:41.448542
user003@gmail.com,Produto2,140.0,2021-03-20T20:34:25.448542,2021-03-20 20:34:25.448542
user007@gmail.com,Produto17,128.0,2021-03-20T20:47:16.448542,2021-03-20 20:47:16.448542
user010@gmail.com,Produto41,198.0,2021-03-20T20:48:12.448542,2021-03-20 20:48:12.448542
user008@gmail.com,Produto50,130.0,2021-03-20T20:48:33.448542,2021-03-20 20:48:33.448542
user001@gmail.com,Produto3,182.0,2021-03-20T20:57:19.448542,2021-03-20 20:57:19.448542
user003@gmail.com,Produto1,153.0,2021-03-20T21:04:36.448542,2021-03-20 21:04:36.448542
user002@gmail.com,Produto16,191.0,2021-03-20T21:09:19.448542,2021-03-20 21:09:19.448542
user002@gmail.com,Produto46,141.0,2021-03-20T21:09:30.448542,2021-03-20 21:09:30.448542
user001@gmail.com,Produto34,108.0,2021-03-20T21:17:28.448542,2021-03-20 21:17:28.448542
user006@gmail.com,Produto18,131.0,2021-03-20T21:24:19.448542,2021-03-20 21:24:19.448542
user002@gmail.com,Produto22,89.0,2021-03-20T21:36:54.448542,2021-03-20 21:36:54.448542
user005@gmail.com,Produto23,191.0,2021-03-20T21:38:28.448542,2021-03-20 21:38:28.448542
user001@gmail.com,Produto38,94.0,2021-03-20T21:47:44.448542,2021-03-20 21:47:44.448542
user003@gmail.com,Produto20,199.0,2021-03-20T22:02:32.448542,2021-03-20 22:02:32.448542
user005@gmail.com,Produto8,138.0,2021-03-20T22:16:26.448542,2021-03-20 22:16:26.448542
user007@gmail.com,Produto15,111.0,2021-03-20T22:19:11.448542,2021-03-20 22:19:11.448542
user008@gmail.com,Produto31,162.0,2021-03-20T22:32:21.448542,2021-03-20 22:32:21.448542
user001@gmail.com,Produto47,163.0,2021-03-20T22:45:43.448542,2021-03-20 22:45:43.448542
user005@gmail.com,Produto43,185.0,2021-03-20T22:59:04.448542,2021-03-20 22:59:04.448542
user008@gmail.com,Produto5,124.0,2021-03-20T23:14:57.448542,2021-03-20 23:14:57.448542
user010@gmail.com,Produto6,150.0,2021-03-20T23:27:07.448542,2021-03-20 23:27:07.448542
user003@gmail.com,Produto5,124.0,2021-03-20T23:36:40.448542,2021-03-20 23:36:40.448542
user004@gmail.com,Produto38,94.0,2021-03-20T23:46:38.448542,2021-03-20 23:46:38.448542
user002@gmail.com,Produto13,166.0,2021-03-20T23:52:13.448542,2021-03-20 23:52:13.448542
user001@gmail.com,Produto8,138.0,2021-03-21T00:07:42.448542,2021-03-21 00:07:42.448542
user003@gmail.com,Produto37,134.0,2021-03-21T00:27:02.448542,2021-03-21 00:27:02.448542
user007@gmail.com,Produto10,126.0,2021-03-21T00:36:47.448542,2021-03-21 00:36:47.448542
user007@gmail.com,Produto22,89.0,2021-03-21T00:40:07.448542,2021-03-21 00:40:07.448542
user006@gmail.com,Produto16,191.0,2021-03-21T00:44:34.448542,2021-03-21 00:44:34.448542
user010@gmail.com,Produto2,140.0,2021-03-21T00:55:32.448542,2021-03-21 00:55:32.448542
user004@gmail.com,Produto36,130.0,2021-03-21T00:55:43.448542,2021-03-21 00:55:43.448542
user005@gmail.com,Produto13,166.0,2021-03-21T01:11:50.448542,2021-03-21 01:11:50.448542
user002@gmail.com,Produto11,83.0,2021-03-21T01:16:49.448542,2021-03-21 01:16:49.448542
user007@gmail.com,Produto20,199.0,2021-03-21T01:28:23.448542,2021-03-21 01:28:23.448542
user009@gmail.com,Produto28,172.0,2021-03-21T01:37:15.448542,2021-03-21 01:37:15.448542
user009@gmail.com,Produto20,199.0,2021-03-21T01:46:01.448542,2021-03-21 01:46:01.448542
user001@gmail.com,Produto15,111.0,2021-03-21T01:49:35.448542,2021-03-21 01:49:35.448542
user003@gmail.com,Produto27,170.0,2021-03-21T01:52:57.448542,2021-03-21 01:52:57.448542
user010@gmail.com,Produto24,87.0,2021-03-21T01:58:31.448542,2021-03-21 01:58:31.448542
user003@gmail.com,Produto34,108.0,2021-03-21T02:04:57.448542,2021-03-21 02:04:57.448542
user007@gmail.com,Produto9,85.0,2021-03-21T02:18:30.448542,2021-03-21 02:18:30.448542
user003@gmail.com,Produto25,139.0,2021-03-21T02:22:00.448542,2021-03-21 02:22:00.448542
user008@gmail.com,Produto49,182.0,2021-03-21T02:36:23.448542,2021-03-21 02:36:23.448542
user007@gmail.com,Produto29,157.0,2021-03-21T02:47:17.448542,2021-03-21 02:47:17.448542
user010@gmail.com,Produto18,131.0,2021-03-21T03:07:49.448542,2021-03-21 03:07:49.448542
user003@gmail.com,Produto24,87.0,2021-03-21T03:12:27.448542,2021-03-21 03:12:27.448542
user008@gmail.com,Produto38,94.0,2021-03-21T03:26:07.448542,2021-03-21 03:26:07.448542
user008@gmail.com,Produto2,140.0,2021-03-21T03:31:25.448542,2021-03-21 03:31:25.448542
user009@gmail.com,Produto36,130.0,2021-03-21T03:33:25.448542,2021-03-21 03:33:25.448542
user006@gmail.com,Produto28,172.0,2021-03-21T03:36:52.448542,2021-03-21 03:36:52.448542
